date,number_week,rank,name,symbol,market_cap,price,circulating_supply,volume,%_1h,%_24h,%_7d
2017-01-08,1,156,Coin2.1,C2,97339.0,0.0009736,99976323,0.0009736,-11.5,6.05,3.48
2017-01-08,1,157,Bitswift,BITS,96037.0,0.02368,4055936,0.02368,-1.3,-37.58,-42.07
2017-01-08,1,158,MediterraneanCoin,MED,95654.0,0.002366,40431897,0.002366,-0.19,13.89,-31.18
2017-01-08,1,159,Magi,XMG,94017.0,0.01476,6368497,0.01476,-0.26,10.42,-15.31
2017-01-08,1,160,Shift,SHIFT,93360.0,0.008987,10388516,0.008987,-0.16,11.32,-5.09
2017-01-08,1,161,Stealth,XST,77705.0,0.003085,25191007,0.003085,-0.19,2.24,-26.27
2017-01-08,1,162,Qibuck,QBK,65993.0,0.1254,526086,0.1254,-2.5,5.40,-11.68
2017-01-08,1,163,Wexcoin,WEX,65437.0,0.7499,87259,0.7499,-0.16,-0.62,-3.85
2017-01-08,1,164,RussiaCoin,RC,52555.0,0.006442,8157914,0.006442,-1.51,5.14,0.00
2017-01-08,1,165,Pesobit,PSB,52037.0,0.002531,20557148,0.002531,-0.16,-2.23,-44.63
2017-01-08,1,166,Dotcoin,DOT,49302.0,0.0002593,190159500,0.0002593,0.03,5.66,-12.17
2017-01-08,1,167,Syndicate,SYNX,47121.0,0.006087,7741320,0.006087,3.84,-2.63,67.21
2017-01-08,1,168,BERNcash,BERN,42634.0,0.0006556,65031697,0.0006556,-0.34,209.32,168.18
2017-01-08,1,169,Truckcoin,TRK,36988.0,0.000373,99161483,0.000373,-4.82,-3.93,-23.66
2017-01-08,1,170,Universal Currency,UNIT,36500.0,0.002798,13046431,0.002798,-7.33,-0.61,-1.82
